Cliente,Producto,Precio,NombreOriginalListaPrecios,TipoResolucion
Locall Burger,Cogollo Europeo x Unidad,1600.0,Local Burger,auto
Home Burger,Cogollo Europeo x Unidad,1265.0,Home burgers,auto
Salvo Patria,Cogollo Europeo x Unidad,1600.0,Salvo patria,exact
Masa,Cogollo Europeo x Unidad,2000.0,Masa,exact
Burger Maker,Cogollo Europeo x Unidad,2000.0,Burger maker,exact
Cabrera CDI,Cogollo Europeo x Kilo,10999.0,Cabrera,chain_broadcast
Cabrera Colina,Cogollo Europeo x Kilo,10999.0,Cabrera,chain_broadcast
Cabrera Salitre,Cogollo Europeo x Kilo,10999.0,Cabrera,chain_broadcast
Cabrera Fontanar,Cogollo Europeo x Kilo,10999.0,Cabrera,chain_broadcast
Cabrera Unicentro,Cogollo Europeo x Kilo,10999.0,Cabrera,chain_broadcast
Cabrera zona t,Cogollo Europeo x Kilo,10999.0,Cabrera,chain_broadcast
Aborigen burguer,Cogollo Europeo x Kilo,13999.0,Aborigen Burger,auto
Seratta 114,Cogollo Europeo x Kilo,9999.0,Seratta,chain_broadcast
Seratta Atlantis,Cogollo Europeo x Kilo,9999.0,Seratta,chain_broadcast
Seratta Campo Di Fiori,Cogollo Europeo x Kilo,9999.0,Seratta,chain_broadcast
La Biferia 109,Cogollo Europeo Hidroponico x Kilo,10390.0,La biferia,chain_broadcast
La biferia 79,Cogollo Europeo Hidroponico x Kilo,10390.0,La biferia,chain_broadcast
La biferia atlantis,Cogollo Europeo Hidroponico x Kilo,10390.0,La biferia,chain_broadcast
La Biferia Chapinero,Cogollo Europeo Hidroponico x Kilo,10390.0,La biferia,chain_broadcast
La biferia Colina,Cogollo Europeo Hidroponico x Kilo,10390.0,La biferia,chain_broadcast
La biferia multiplaza (La Felicidad),Cogollo Europeo Hidroponico x Kilo,10390.0,La biferia,chain_broadcast
La biferia planta,Cogollo Europeo Hidroponico x Kilo,10390.0,La biferia,chain_broadcast
La biferia Santafe,Cogollo Europeo Hidroponico x Kilo,10390.0,La biferia,chain_broadcast
La Biferia Americas,Cogollo Europeo Hidroponico x Kilo,10390.0,La biferia,chain_broadcast
La Biferia Plaza Central,Cogollo Europeo Hidroponico x Kilo,10390.0,La biferia,chain_broadcast
Seratta 114,Cogollo Europeo Hidroponico x Kilo,9999.0,Seratta,chain_broadcast
Seratta Atlantis,Cogollo Europeo Hidroponico x Kilo,9999.0,Seratta,chain_broadcast
Seratta Campo Di Fiori,Cogollo Europeo Hidroponico x Kilo,9999.0,Seratta,chain_broadcast
Storia de Amore 122,Cogollo Europeo Hidroponico x Kilo,11490.0,Storia de Amore,chain_broadcast
Storia de Amore 82,Cogollo Europeo Hidroponico x Kilo,11490.0,Storia de Amore,chain_broadcast
Storia de amore 93,Cogollo Europeo Hidroponico x Kilo,11490.0,Storia de Amore,chain_broadcast
Masa,Cogollo Europeo Hidroponico x Unidad,2000.0,Masa,exact
Crick 59,Cogollo Europeo Hidroponico x Unidad,1799.0,Crick,chain_broadcast
Crick 64,Cogollo Europeo Hidroponico x Unidad,1799.0,Crick,chain_broadcast
Crick Cedritos 147,Cogollo Europeo Hidroponico x Unidad,1799.0,Crick,chain_broadcast
Crick Colina,Cogollo Europeo Hidroponico x Unidad,1799.0,Crick,chain_broadcast
Burger Maker,Cogollo Europeo Hidroponico x Unidad,1800.0,Burger maker,exact
Home Burger,Cogollo Europeo Hidroponico x Unidad,1265.0,Home burgers,auto
Mistral Fabrica,Cogollo Europeo Deshojado Ensalada x Kilo,15999.0,Mistral,chain_broadcast
Mistral Chapinero,Cogollo Europeo Deshojado Ensalada x Kilo,15999.0,Mistral,chain_broadcast
Mistral Nogal,Cogollo Europeo Deshojado Ensalada x Kilo,15999.0,Mistral,chain_broadcast
Mistral Soledad,Cogollo Europeo Deshojado Ensalada x Kilo,15999.0,Mistral,chain_broadcast
Juan burgers,Cogollo Europeo Deshojado Ensalada x Kilo,14500.0,Juan burges,auto
360 Burger,Cogollo Europeo Deshojado Ensalada x Kilo,16675.0,360 burger,exact
il Forno 109,Cogollo Europeo Deshojado Ensalada x Kilo,11768.0,Il forno,chain_broadcast
il Forno 93,Cogollo Europeo Deshojado Ensalada x Kilo,11768.0,Il forno,chain_broadcast
il Forno Nuesto Bogota,Cogollo Europeo Deshojado Ensalada x Kilo,11768.0,Il forno,chain_broadcast
il Forno Plaza Central,Cogollo Europeo Deshojado Ensalada x Kilo,11768.0,Il forno,chain_broadcast
il Forno titan plaza,Cogollo Europeo Deshojado Ensalada x Kilo,11768.0,Il forno,chain_broadcast
il Forno zona g,Cogollo Europeo Deshojado Ensalada x Kilo,11768.0,Il forno,chain_broadcast
Seratta 114,Boch Choy x Kilo,8499.0,Seratta,chain_broadcast
Seratta Atlantis,Boch Choy x Kilo,8499.0,Seratta,chain_broadcast
Seratta Campo Di Fiori,Boch Choy x Kilo,8499.0,Seratta,chain_broadcast
Burger Maker,Cebollin por Kilo,17999.0,Burger maker,exact
Osaka,Cebollin por Kilo,16999.0,osaka,exact
Burger Maker,Cilantro x Kilo,9990.0,Burger maker,exact
Osaka,Cilantro x Kilo,7999.0,osaka,exact
Mistral Fabrica,Espinaca Baby x Kilo,12499.0,Mistral,chain_broadcast
Mistral Chapinero,Espinaca Baby x Kilo,12499.0,Mistral,chain_broadcast
Mistral Nogal,Espinaca Baby x Kilo,12499.0,Mistral,chain_broadcast
Mistral Soledad,Espinaca Baby x Kilo,12499.0,Mistral,chain_broadcast
Cabrera CDI,Espinaca Baby x Kilo,11790.0,Cabrera,chain_broadcast
Cabrera Colina,Espinaca Baby x Kilo,11790.0,Cabrera,chain_broadcast
Cabrera Salitre,Espinaca Baby x Kilo,11790.0,Cabrera,chain_broadcast
Cabrera Fontanar,Espinaca Baby x Kilo,11790.0,Cabrera,chain_broadcast
Cabrera Unicentro,Espinaca Baby x Kilo,11790.0,Cabrera,chain_broadcast
Cabrera zona t,Espinaca Baby x Kilo,11790.0,Cabrera,chain_broadcast
Storia de Amore 122,Kale Rizado x Kilo,11999.0,Storia de Amore,chain_broadcast
Storia de Amore 82,Kale Rizado x Kilo,11999.0,Storia de Amore,chain_broadcast
Storia de amore 93,Kale Rizado x Kilo,11999.0,Storia de Amore,chain_broadcast
Seratta 114,Kale Rizado x Kilo,11999.0,Seratta,chain_broadcast
Seratta Atlantis,Kale Rizado x Kilo,11999.0,Seratta,chain_broadcast
Seratta Campo Di Fiori,Kale Rizado x Kilo,11999.0,Seratta,chain_broadcast
Seratta 114,Lechuga Batavia x Kilo,4500.0,Seratta,chain_broadcast
Seratta Atlantis,Lechuga Batavia x Kilo,4500.0,Seratta,chain_broadcast
Seratta Campo Di Fiori,Lechuga Batavia x Kilo,4500.0,Seratta,chain_broadcast
Cabrera CDI,Lechuga Crespa Morada x Unidad,1999.0,Cabrera,chain_broadcast
Cabrera Colina,Lechuga Crespa Morada x Unidad,1999.0,Cabrera,chain_broadcast
Cabrera Salitre,Lechuga Crespa Morada x Unidad,1999.0,Cabrera,chain_broadcast
Cabrera Fontanar,Lechuga Crespa Morada x Unidad,1999.0,Cabrera,chain_broadcast
Cabrera Unicentro,Lechuga Crespa Morada x Unidad,1999.0,Cabrera,chain_broadcast
Cabrera zona t,Lechuga Crespa Morada x Unidad,1999.0,Cabrera,chain_broadcast
La Bodegueta 85,Lechuga Crespa Morada x Unidad,6500.0,La bodegueta,review_accept
Famiglia 85,Lechuga Crespa Morada x Unidad,12999.0,Famiglia,chain_broadcast
Famiglia chapinero,Lechuga Crespa Morada x Unidad,12999.0,Famiglia,chain_broadcast
Famiglia quinta camacho,Lechuga Crespa Morada x Unidad,12999.0,Famiglia,chain_broadcast
Famiglia castellana,Lechuga Crespa Morada x Unidad,12999.0,Famiglia,chain_broadcast
Famiglia universidades,Lechuga Crespa Morada x Unidad,12999.0,Famiglia,chain_broadcast
Oliveto 107,Lechuga Crespa Morada x Kilo,11999.0,Oliveto,chain_broadcast
Oliveto Colina,Lechuga Crespa Morada x Kilo,11999.0,Oliveto,chain_broadcast
Oliveto La soledad,Lechuga Crespa Morada x Kilo,11999.0,Oliveto,chain_broadcast
Oliveto Rosales,Lechuga Crespa Morada x Kilo,11999.0,Oliveto,chain_broadcast
Oliveto Usaquen,Lechuga Crespa Morada x Kilo,11999.0,Oliveto,chain_broadcast
Oliveto Maloka,Lechuga Crespa Morada x Kilo,11999.0,Oliveto,chain_broadcast
Seratta 114,Lechuga Crespa Morada x Kilo,9500.0,Seratta,chain_broadcast
Seratta Atlantis,Lechuga Crespa Morada x Kilo,9500.0,Seratta,chain_broadcast
Seratta Campo Di Fiori,Lechuga Crespa Morada x Kilo,9500.0,Seratta,chain_broadcast
La Bodegueta 85,Lechuga Crespa Morada x Kilo,9500.0,La bodegueta,review_accept
Famiglia 85,Lechuga Crespa Morada x Kilo,12999.0,Famiglia,chain_broadcast
Famiglia chapinero,Lechuga Crespa Morada x Kilo,12999.0,Famiglia,chain_broadcast
