NombreEnListaPrecios,Producto,Precio,CandidatosPosibles
Zona K,Cogollo Europeo x Kilo,9999.0,(sin candidatos)
Charlote,Cogollo Europeo x Kilo,12500.0,Charlote pasteleria (0.59)
Altas Vistas,Cogollo Europeo Hidroponico x Kilo,9999.0,Alitas Colombianas (0.6)
Takami,Cogollo Europeo Hidroponico x Kilo,10350.0,(sin candidatos)
Le grand - Vitto,Cogollo Europeo Deshojado Ensalada x Kilo,14500.0,Le Grand andino (0.71); Le Grand 92 (0.67); Le Grand 116 (0.64)
Zona K,Cebollin por Kilo,15999.0,(sin candidatos)
The chesse wel co,Cebollin por Kilo,17999.0,The Chesse Whell co Chico (0.81); The chesse whell co City u (0.79); The chesse whel co gran estacion (0.69)
Zona K,Cilantro x Kilo,10990.0,(sin candidatos)
Zona K,Col China x Kilo,3999.0,(sin candidatos)
Charlote,Espinaca Baby x Kilo,12000.0,Charlote pasteleria (0.59)
Le grand - Vitto,Espinaca Baby x Kilo,10200.0,Le Grand andino (0.71); Le Grand 92 (0.67); Le Grand 116 (0.64)
Le grand - Vitto,Kale Rizado x Kilo,10700.0,Le Grand andino (0.71); Le Grand 92 (0.67); Le Grand 116 (0.64)
Zona K,Lechuga Batavia x Kilo,4999.0,(sin candidatos)
VENTURA,Lechuga Crespa Morada x Unidad,2000.0,(sin candidatos)
GLUCK,Lechuga Crespa Verde x Unidad,1799.0,(sin candidatos)
GLUCK,Lechuga Crespa Verde Tierra x Unidad,1799.0,(sin candidatos)
VENTURA,Lechuga Romana x Unidad,2800.0,(sin candidatos)
VENTURA,Rugula Rocket x Kilo,12500.0,(sin candidatos)
Linas,Rugula Selvatica x Kilo,17999.0,Linas 85 (0.77); Luna (0.67); Vintrash (0.62)
Takami,Mix central cevicheria x kilo,16050.0,(sin candidatos)
Altas Vistas,Mix asiatico x kilo,8500.0,Alitas Colombianas (0.6)
VENTURA,Mix asiatico x kilo,12000.0,(sin candidatos)
Le grand - Vitto,Mix mizunas deshojado x kilo,12000.0,Le Grand andino (0.71); Le Grand 92 (0.67); Le Grand 116 (0.64)
Veleño 1,Mix veleño por kilo,16499.0,El veleño (0.71)
Incorrecto,Mix incorrecto cocina x kilo,17500.0,Incorrecto Cocina (0.74)
Takami,Mix osaki x kilo,18700.0,(sin candidatos)
Charlote,Tomate uvalina x kilo,16000.0,Charlote pasteleria (0.59)
Le grand - Vitto,Tomate uvalina x kilo,16000.0,Le Grand andino (0.71); Le Grand 92 (0.67); Le Grand 116 (0.64)
VENTURA,Tomate cherry x kilo,10999.0,(sin candidatos)
Zona K,Tomate cherry x kilo,9990.0,(sin candidatos)
Dumbo,Mix dumbo,15999.0,(sin candidatos)
